,pre_APD,pre_Gini Index,pre_Shannon Entropy,pre_Simpson Diversity,pre_Imbalance Ratio,pre_Kurtosis,pre_Skewness,pre_Mutual Information,pre_Normalized Mutual Information,pre_Kendall Tau,pre_Correlation Ratio,post_APD,post_Gini Index,post_Shannon Entropy,post_Simpson Diversity,post_Imbalance Ratio,post_Kurtosis,post_Skewness,post_Mutual Information,post_Normalized Mutual Information,post_Kendall Tau,post_Correlation Ratio
count,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,111.0
mean,0.1641281415177009,0.35128599941030475,0.8572383554320545,0.35128599941030475,52.332545604724444,-0.5301483437610548,1.2123743878187736,0.01578619613843095,0.009344649038651799,0.14822987204863367,0.11299735432255453,0.16362248157513498,0.3615758472889133,0.8989441642936831,0.3615758472889133,295.03174431407115,-0.5301483437610548,1.2123743878187736,0.015642410707154473,0.009110923455225508,0.14435691307587176,0.11272418610155827
std,0.03229233170627629,0.0918640308720298,0.05876061677389102,0.0918640308720298,50.53563216113196,0.0,2.230425632338762e-16,0.010023896134042566,0.005729723608628422,0.06805477570349998,0.0417198523083388,0.03235334750234766,0.10103260312911065,0.18741640574733928,0.10103260312911065,2369.846766626449,0.0,2.230425632338762e-16,0.009961759085609694,0.005669684920701926,0.06898573570441101,0.041633710214693066
min,0.1319802952417882,0.2598329953466272,0.7987406510139586,0.2598329953466272,2.0230247887846997,-0.5301483437610548,1.2123743878187738,0.0058071498764887,0.0036405619058588,0.080479593513231,0.0714641689563959,0.1127499827842522,0.2598329953466272,0.7987406510139586,0.2598329953466272,2.0230247887846997,-0.5301483437610548,1.2123743878187738,0.0041948435889693,0.0018789793038502,0.0182306677772989,0.060912376031199
25%,0.1319802952417882,0.2598329953466272,0.7987406510139586,0.2598329953466272,2.0230247887846997,-0.5301483437610548,1.2123743878187738,0.0058071498764887,0.0036405619058588,0.080479593513231,0.0714641689563959,0.1319802952417882,0.2598329953466272,0.7987406510139586,0.2598329953466272,2.0230247887846997,-0.5301483437610548,1.2123743878187738,0.0058071498764887,0.0036405619058588,0.080479593513231,0.0714641689563959
50%,0.16412814151770083,0.3512859994103047,0.8572383554320547,0.3512859994103047,52.332545604724444,-0.5301483437610548,1.2123743878187738,0.01578619613843095,0.0093446490386518,0.14822987204863364,0.11299735432255455,0.14580638028380316,0.4427390034739822,0.9157360598501508,0.4427390034739822,102.6420664206642,-0.5301483437610548,1.2123743878187738,0.01237698129305715,0.0056604833746591,0.08076134023021095,0.123864042447025
75%,0.1962759877936135,0.4427390034739822,0.9157360598501508,0.4427390034739822,102.6420664206642,-0.5301483437610548,1.2123743878187738,0.0257652424003732,0.0150487361714448,0.2159801505840363,0.1545305396887132,0.1962759877936135,0.4427390034739822,0.9157360598501508,0.4427390034739822,102.6420664206642,-0.5301483437610548,1.2123743878187738,0.0257652424003732,0.0150487361714448,0.2159801505840363,0.1545305396887132
max,0.1962759877936135,0.4427390034739822,0.9157360598501508,0.4427390034739822,102.6420664206642,-0.5301483437610548,1.2123743878187738,0.0257652424003732,0.0150487361714448,0.2159801505840363,0.1545305396887132,0.1979859341349569,0.6367830963814871,1.818146139115634,0.6367830963814871,25072.0,-0.5301483437610548,1.2123743878187738,0.0275355775699896,0.0150487361714448,0.2159801505840363,0.159261915398616
