column,dataset,column_type,mutation_type,is_sensitive,sensitive_attr_analyzed,symptom_name,pre_symptom_value,post_symptom_value,symptom_difference,symptom_abs_difference,symptom_percent_change
age,bank.csv,numeric,increment_decrement_feature,False,age,Gini Index,0.9860742076509084,0.986037659765532,-3.6547885376325695e-05,3.6547885376325695e-05,-0.003706403138095712
age,bank.csv,numeric,increment_decrement_feature,False,age,Shannon Entropy,0.8736477608372235,0.8711968368604083,-0.0024509239768152336,0.0024509239768152336,-0.28053914708903893
age,bank.csv,numeric,increment_decrement_feature,False,age,Simpson Diversity,0.482321269404796,0.4751759267770347,-0.007145342627761342,0.007145342627761342,-1.4814487937840652
age,bank.csv,numeric,increment_decrement_feature,False,age,Imbalance Ratio,0.0020161290322580645,0.00205761316872428,4.148413646621555e-05,4.148413646621555e-05,2.0576131687242913
age,bank.csv,numeric,increment_decrement_feature,False,age,Kurtosis,3.621540292695505,3.596717348894615,-0.02482294380089023,0.02482294380089023,-0.6854250345069215
age,bank.csv,numeric,increment_decrement_feature,False,age,Skewness,0.8627796373814872,0.8476624777020006,-0.01511715967948657,0.01511715967948657,-1.7521460897439278
age,bank.csv,numeric,increment_decrement_feature,False,age,Mutual Information,0.027954320462247963,0.026881959754641194,-0.0010723607076067697,0.0010723607076067697,-3.836117959136164
age,bank.csv,numeric,increment_decrement_feature,False,age,Normalized Mutual Information,0.0062463381666145665,0.0059906374127686145,-0.000255700753845952,0.000255700753845952,-4.093610480659239
age,bank.csv,numeric,increment_decrement_feature,False,age,Kendall Tau,-0.010057572034778101,-0.00960776655474108,0.0004498054800370216,0.0004498054800370216,-4.472306819992323
age,bank.csv,numeric,increment_decrement_feature,False,age,Correlation Ratio,0.03490092789028282,0.034953845553762006,5.2917663479187804e-05,5.2917663479187804e-05,0.15162251171528662
age,bank.csv,numeric,increment_decrement_feature,False,age,APD,0.028514215141943355,0.03141578789320948,0.002901572751266124,0.002901572751266124,10.175881527238733
age,bank.csv,numeric,increment_decrement_feature,False,age,Statistical Parity,-0.028514215141943355,-0.03141578789320948,-0.002901572751266124,0.002901572751266124,10.175881527238733
age,bank.csv,numeric,increment_decrement_feature,False,age,Disparate Impact,0.9415976453393703,0.9358387165920429,-0.005758928747327419,0.005758928747327419,-0.6116124839343441
age,bank.csv,numeric,increment_decrement_feature,False,age,Unprivileged Unbalance,0.9702080633627568,0.9670398549783666,-0.0031682083843901365,0.0031682083843901365,-0.3265493767810046
age,bank.csv,numeric,increment_decrement_feature,False,age,Privileged Unbalance,1.0303849719304203,1.03334029446863,0.002955322538209737,0.002955322538209737,0.28681731767428215
age,bank.csv,numeric,increment_decrement_feature,False,age,Unprivileged Pos Prob,0.4597232079488999,0.45822198467842506,-0.0015012232704748607,0.0015012232704748607,-0.32654937678102336
age,bank.csv,numeric,increment_decrement_feature,False,age,Privileged Pos Prob,0.4882374230908433,0.48963777257163454,0.001400349480791263,0.001400349480791263,0.2868173176742965
age,bank.csv,numeric,increment_decrement_feature,False,age,Pos Probability Diff,-0.028514215141943355,-0.03141578789320948,-0.002901572751266124,0.002901572751266124,10.175881527238733
age,bank.csv,numeric,increment_decrement_feature,False,job,Gini Index,0.9373973717615263,0.9373973717615263,0.0,0.0,0.0
age,bank.csv,numeric,increment_decrement_feature,False,job,Shannon Entropy,0.8658758172015324,0.8658758172015324,0.0,0.0,0.0
age,bank.csv,numeric,increment_decrement_feature,False,job,Simpson Diversity,0.5551233701284716,0.5551233701284716,0.0,0.0,0.0
age,bank.csv,numeric,increment_decrement_feature,False,job,Imbalance Ratio,0.027279812938425563,0.027279812938425563,0.0,0.0,0.0
age,bank.csv,numeric,increment_decrement_feature,False,job,Mutual Information,0.017244258935380972,0.017244258935380972,0.0,0.0,0.0
age,bank.csv,numeric,increment_decrement_feature,False,job,Normalized Mutual Information,0.006064665018241761,0.006064665018241761,0.0,0.0,0.0
age,bank.csv,numeric,increment_decrement_feature,False,job,Correlation Ratio,0.18404249757217803,0.18404249757217803,0.0,0.0,0.0
age,bank.csv,numeric,increment_decrement_feature,False,job,APD,0.10136157997313158,0.10136157997313158,0.0,0.0,0.0
age,bank.csv,numeric,increment_decrement_feature,False,job,Statistical Parity,-0.04000205597828879,-0.04000205597828879,0.0,0.0,-0.0
age,bank.csv,numeric,increment_decrement_feature,False,job,Disparate Impact,0.9711969625989436,0.9711969625989436,0.0,0.0,0.0
age,bank.csv,numeric,increment_decrement_feature,False,job,Unprivileged Unbalance,0.9947972022255749,0.9947972022255749,0.0,0.0,0.0
age,bank.csv,numeric,increment_decrement_feature,False,job,Privileged Unbalance,1.0792182551334326,1.0792182551334326,0.0,0.0,0.0
age,bank.csv,numeric,increment_decrement_feature,False,job,Unprivileged Pos Prob,0.4713745209255569,0.4713745209255569,0.0,0.0,0.0
