,variable,fold,statistical_parity,equal_opportunity,average_odds
0,age,0,0.002685543408984849,0.03834926441763269,0.22096679752777662
1,age,1,0.0008075543307546234,0.04431924320525414,0.2532499045086049
2,age,2,0.0011159422986052102,0.03536098478014023,0.2291262868689933
3,age,3,0.0030585619743768774,0.035455838089027095,0.25588890746230075
4,age,4,0.0008940158565521103,0.04285604018301508,0.267389401282598
5,age,5,0.0034042884477877597,0.04399715001065837,0.21072260114330657
6,age,6,0.001698960551498069,0.043130196824732556,0.1903001818442028
7,age,7,0.004919017733603024,0.031214547755459447,0.22164333242667622
8,age,8,0.002379595702363195,0.03920085567438303,0.19545395364206428
9,age,9,0.0010565482238390747,0.04634667481479246,0.2121642562083149
10,c,0,0.000979282924831625,0.03379597094186922,0.249613064907743
11,c,1,0.0008216926869351,0.0287342970161796,0.0151515151515151
12,c,2,0.0012674223325959502,0.027111071118406674,0.2503655649470306
13,c,3,0.00151787958596656,0.21883501804185884,0.29969316800215695
14,c,4,0.000692213058254525,0.023523323010596627,0.2500610936141689
15,c,5,0.0022083705575269333,0.03707779215416263,0.16721851701500248
16,c,6,0.000686553405601525,0.0415030119882785,0.25005676663858173
17,c,7,0.0019652369500872667,0.019391742780313033,0.16669679304157303
18,c,8,0.0037327010766991,0.035204983198929604,0.2510718474960288
19,c,9,0.0006955234111184,0.029059732040352178,0.25006252516371974
20,race,0,0.0021407258883273167,0.046106266557240955,0.08416460657260062
21,race,1,0.00070926018580625,0.027439449644734867,0.17053857308094758
22,race,2,0.0007066802352747667,0.058941664625991326,0.08360546604145891
23,race,3,0.00589630620460015,0.030938063065437813,0.0890152071673414
24,race,4,0.0007214080883856666,0.024491724765520934,0.16684382649505214
25,race,5,0.0013617505137202667,0.03378097985358473,0.16678285845654908
26,race,6,0.0007162936370733833,0.059976323179628116,0.0836098660577509
27,race,7,0.002776470306082683,0.03483400089088052,0.08428325945594656
28,race,8,0.0018421711989623335,0.029089461485685985,0.16702427911560758
29,race,9,0.0007206076691707334,0.027473546060130954,0.1668436943998346
30,score,0,0.002366797340798367,0.03370709011099027,0.0012855224609481667
31,score,1,0.0014036947860113667,0.013852495085057733,0.016463414634146332
32,score,2,0.0013360548912191668,0.020053693022042834,0.0007097821391677667
33,score,3,0.0032290714313760334,0.023394626486707232,0.013432744157094232
34,score,4,0.0014199821990642668,0.010433461587857967,0.0007414514923150334
35,score,5,0.004389907026513234,0.029670249842174968,0.0023649567861036332
36,score,6,0.0009396187756787333,0.01611216377526663,0.0004909976257805666
37,score,7,0.006701180923889966,0.0241684046097151,0.0035733844396429668
38,score,8,0.0025428778117252333,0.011911245736632332,0.0013530686681879334
39,score,9,0.0013568235725295334,0.025079702591625633,0.0007237068463900333
40,sex,0,0.001888834459267,0.0124722313993096,0.0009754090913679
41,sex,1,0.0007097232079489,0.0063451373367372,0.0096153846153846
42,sex,2,0.0007062146892655,0.0388547659772974,0.0003742514970059
43,sex,3,0.0028149190710766,0.0244163632469479,0.0084615886265814
44,sex,4,0.0006983240223463,0.0052116078966749,0.0003633720930232
45,sex,5,0.0021598272138229,0.0237519981452331,0.0011467889908257
46,sex,6,0.0033557046979866,0.0304893058684192,0.0017123287671232
47,sex,7,0.000290670991035,0.0047884221154728,0.0001440866825482
48,sex,8,0.0020804438280166,0.0035641712092377,0.0010964912280701
49,sex,9,0.0007022471910111,0.0310507731323307,0.0003692762186115
50,v,0,0.003191714645012217,0.04246191879816133,0.0017680345249073666
51,v,1,0.0013980936582381831,0.020267552717452165,0.014194111988229584
52,v,2,0.0010184605697093167,0.028118178603177682,0.0005385051282408333
53,v,3,0.004096573509949517,0.025402582712252635,0.011064709270625367
54,v,4,0.0015699385680970999,0.01287771717003435,0.0008267350273632166
55,v,5,0.0044935974121067,0.0303255354506914,0.0024387999695829996
56,v,6,0.0009950069726739333,0.032686908738486266,0.0005264723018801833
57,v,7,0.0043671686661164,0.017916365183509333,0.002289577616697483
58,v,8,0.004312183604145417,0.01925483229186241,0.0023038437506786667
59,v,9,0.0035660564885322335,0.025266303409582885,0.0019090867263333166
