,variable,fold,statistical_parity,equal_opportunity,average_odds
0,age,0,0.002931848951568954,0.037526288553568155,0.2227451879532804
1,age,1,0.00157482668769256,0.04471490617650194,0.2531635472765304
2,age,2,0.003922878496624496,0.03575771395364361,0.2302371385863741
3,age,3,0.0037971226756107475,0.035924842684631905,0.2558229671562323
4,age,4,0.0010933650387770777,0.04202075029856746,0.2674877463407724
5,age,5,0.0009368044365731614,0.04327365740706746,0.20991472560037053
6,age,6,0.003281031278274443,0.044979517076051974,0.190462180624398
7,age,7,0.00593846561538438,0.031912864865423926,0.221927493431755
8,age,8,0.005249485446372348,0.04139851377576253,0.19675321226666542
9,age,9,0.0008385272022587864,0.045623981879895414,0.21204528163903344
10,c,0,0.001441357505863275,0.0339210588162672,0.2508771437158329
11,c,1,0.0016433853738702,0.0279126043292446,0.0155738124488124
12,c,2,0.003565289269065075,0.029645915783598598,0.24931936068101537
13,c,3,0.00239917364460458,0.21976699664556443,0.29907834731710614
14,c,4,0.000692213058254525,0.023523323010596627,0.2500610936141689
15,c,5,0.0014759871307832,0.0396133847649312,0.16725992003494083
16,c,6,0.002386735044089275,0.044001917709700925,0.2500801382720584
17,c,7,0.0016169951917523668,0.019043501021978132,0.16631324523134733
18,c,8,0.00497693476893215,0.03644921689116265,0.25142912999470507
19,c,9,0.0006955234111184,0.029059732040352178,0.25006252516371974
20,race,0,0.0029690634540888165,0.04406999514482058,0.08779892055384585
21,race,1,0.0009936409274161166,0.027127984837083997,0.17027655107810588
22,race,2,0.005383664742386533,0.05831839829938166,0.10332108636851235
23,race,3,0.006257826960338033,0.03125720947974418,0.08918301421402584
24,race,4,0.0007214080883856666,0.024491724765520934,0.16684382649505214
25,race,5,0.0007223778372059834,0.03395454883159625,0.16684667047534915
26,race,6,0.00193844324197705,0.05991385843189876,0.08394291399746316
27,race,7,0.0034937809082696003,0.03451327934007867,0.08455845066362434
28,race,8,0.00191389656172775,0.02981140386893748,0.166858636458337
29,race,9,0.0007206076691707334,0.027473546060130954,0.1668436943998346
30,score,0,0.005654643765301433,0.029579891993617418,0.0333624087905953
31,score,1,0.0014720995167863168,0.013484267050124815,0.012632294991524217
32,score,2,0.0049292406150974995,0.024559566689900683,0.011358331024000884
33,score,3,0.0034918727459979,0.01935959103120345,0.010648597759884934
34,score,4,0.0048908124506991165,0.0178442095824346,0.16902296488949767
35,score,5,0.0009604860766249,0.02395146939177765,0.0005107435191975667
36,score,6,0.004024453709453133,0.02164265681298555,0.0021382491294982668
37,score,7,0.005979770157931017,0.026627090492180015,0.0031852933273577165
38,score,8,0.0024169335578898836,0.016753433626178486,0.00127731463492185
39,score,9,0.003218061425933017,0.0291979339357253,0.0017834294059389832
40,sex,0,0.0011939074266054,0.011777304366648,0.0051221518842418
41,sex,1,0.0014194464158977,0.007054860544686,0.0099838444532622
42,sex,2,0.0035310734463276,0.0402671953558285,0.0077470059880239
43,sex,3,0.0035186488388458,0.025120093014717,0.0088311377766183
44,sex,4,0.0006983240223463,0.0052116078966749,0.0003633720930232
45,sex,5,0.0028248587570621,0.0187673121743481,0.001466275659824
46,sex,6,0.0027681660899654,0.0366131766563712,0.0014630577907827
47,sex,7,0.0004130587767341,0.005492151883242,0.0002257358026588
48,sex,8,0.0027739251040221,0.0042576524852433,0.0014619883040935
49,sex,9,0.0007022471910111,0.0310507731323307,0.0003692762186115
50,v,0,0.006626429907721067,0.049334173760170436,0.014960065385069233
51,v,1,0.0018113845267310666,0.015007964814726334,0.019421205402116934
52,v,2,0.006852208910488833,0.03455316344463854,0.010754337410584867
53,v,3,0.0077825627679408,0.032492352888153365,0.012437119216936
54,v,4,0.0024224689696687334,0.019698648946877232,0.0012781682369236668
55,v,5,0.0007916781736168333,0.031790736708216534,0.0004147220059193
56,v,6,0.005341660931650233,0.02835794721898723,0.0028700035123264338
57,v,7,0.005479065007343734,0.023702767128638197,0.0028801343436175666
58,v,8,0.005428895789878867,0.020984421519232164,0.0029125663190021005
59,v,9,0.0020957674977993665,0.028950604453052798,0.0011257364759229
