,variable,fold,statistical_parity,equal_opportunity,average_odds
0,age,0,0.2077700197053529,0.1471273563925913,0.0826052073633595
1,age,1,0.2542278980288593,0.0959680800208755,0.0709463238724936
2,age,2,0.2314424219859396,0.1388921897971403,0.105436491803536
3,age,3,0.2441553344867878,0.1070380282313286,0.0911122791453167
4,age,4,0.2421602521798255,0.1709529810286142,0.1067419960390452
5,age,5,0.2223485748637488,0.1031600374126633,0.084000005234502
6,age,6,0.2274290866052445,0.1304385359323129,0.1378681238603348
7,age,7,0.2210759365509047,0.1424556832035402,0.1170719327647598
8,age,8,0.2452328979777336,0.1235134020563568,0.0747135871466402
9,age,9,0.2666715128959838,0.1420867599325599,0.0911360376610922
10,contact,0,0.2114545731268424,0.0746035315833749,0.0878588957933913
11,contact,1,0.2539436990359623,0.0479308165706486,0.0971371067698179
12,contact,2,0.2177484899798004,0.0338394462939039,0.0768661901923925
13,contact,3,0.228885950423623,0.0528955196755846,0.1007958062455789
14,contact,4,0.2307777943383187,0.0498264142138165,0.0942332812687632
15,contact,5,0.2578279435692672,0.0462667475113155,0.106528836181164
16,contact,6,0.2312317362216591,0.0551479140351547,0.1080476933860734
17,contact,7,0.2356092284293937,0.0436862099169396,0.1057446841425669
18,contact,8,0.2337118809227452,0.0203179720495116,0.1052070893194984
19,contact,9,0.2293806790066458,0.0486680685689333,0.1023001742765386
20,default,0,0.2309890109890109,0.0622344322344322,0.0574699049776182
21,default,1,0.1058717253839205,0.1436314363143631,0.0152179309623977
22,default,2,0.2806262230919765,0.0435746901500325,0.1718272145728441
23,default,3,0.269090909090909,0.1409090909090908,0.0177853591452449
24,default,4,0.1785063752276867,0.1056466302367941,0.0919212591329588
25,default,5,0.1702272727272727,0.0077272727272726,0.0640601099541111
26,default,6,0.2011363636363636,0.0384090909090909,0.1476040330802717
27,default,7,0.2301544050862852,0.0822888283378746,0.1234180029735039
28,default,8,0.2800398869868705,0.1173342197108193,0.2478914823873606
29,default,9,0.1653116531165311,0.1499548328816621,0.0263178638289486
30,education,0,0.0735534120700769,0.0447159542897023,0.0409711789548008
31,education,1,0.0578149984652878,0.034175872309132,0.0357333702640055
32,education,2,0.0716616873738427,0.0240978012963922,0.0450451504141827
