,variable,fold,statistical_parity,equal_opportunity,average_odds
0,age,0,0.1264280775849307,0.084818918828163,0.1620352897254255
1,age,1,0.1530470881567757,0.0852035407187198,0.1411974126564089
2,age,2,0.137784950636425,0.0748741824890225,0.1526099429135542
3,age,3,0.1516494832685829,0.0934385742593131,0.1575452708446052
4,age,4,0.1556798434828251,0.1053376685068706,0.1489803487736882
5,age,5,0.1364731841022076,0.0856444839647022,0.1592626922330118
6,age,6,0.1470742509853296,0.1126050128924296,0.1468830933304279
7,age,7,0.1534019056323532,0.1102517332794649,0.1640792426034511
8,age,8,0.1354773495799959,0.1212019595529584,0.1447881582623263
9,age,9,0.1218110544755527,0.07541714395411,0.1276412664680132
10,education,0,0.2515756946477085,0.0572980702636693,0.2663500323665467
11,education,1,0.2412682532923983,0.0697864075028171,0.2126369333353019
12,education,2,0.2387043944512062,0.0526452113036168,0.2006101862611622
13,education,3,0.247782919029757,0.0717827662098181,0.2516962037786868
14,education,4,0.2382873189403942,0.0719885914142721,0.2317203297461889
15,education,5,0.2398821451723248,0.0631319687693341,0.2242553345586006
16,education,6,0.2482441370225536,0.0642976597134462,0.2493580431852121
17,education,7,0.2455360523881647,0.079716150644803,0.242279991437527
18,education,8,0.2480814654300747,0.0688174218144867,0.2591044231158745
19,education,9,0.2296873317962544,0.0569972991233336,0.205634087705388
20,hours.per.week,0,0.201565424780813,0.1341669084978053,0.2083062418194318
21,hours.per.week,1,0.172031939189868,0.1464465439929179,0.2095398562829749
22,hours.per.week,2,0.2008571264172017,0.1085978763457654,0.2202093469457592
23,hours.per.week,3,0.194802024115605,0.1520477755519835,0.2127759786248102
24,hours.per.week,4,0.177382401507024,0.1358428560519554,0.1832631312174686
25,hours.per.week,5,0.1824861350130712,0.1395621148121426,0.2039746485215623
26,hours.per.week,6,0.1846977843440544,0.1410900050328857,0.1956914175295112
27,hours.per.week,7,0.182531942072888,0.1272130050095905,0.1914461358736825
28,hours.per.week,8,0.1889321677873521,0.1240591046908261,0.2078716818967906
29,hours.per.week,9,0.2080654475457442,0.1391473984842536,0.2133047263421564
30,marital.status,0,0.2118811510365758,0.1016575473822295,0.1902534254973531
31,marital.status,1,0.2329413758769792,0.1061829543713587,0.2053000642904899
32,marital.status,2,0.2498405050832397,0.1457076227145829,0.205944073952139
33,marital.status,3,0.3096986750884974,0.1219491080981749,0.1524066482184813
34,marital.status,4,0.2324939613996408,0.1823861472441127,0.2276856430258201
35,marital.status,5,0.1909663736549294,0.1135920409697726,0.1532129976002641
36,marital.status,6,0.2334691024284219,0.1425026613490338,0.21942262792746
37,marital.status,7,0.2205347121458875,0.1369088226381636,0.1615926729160669
38,marital.status,8,0.2317516284490801,0.2212009013191745,0.2117394566648582
39,marital.status,9,0.1970838881761372,0.1108650925302483,0.1637448373412585
40,native.country,0,0.2249386441098592,0.1415400327817914,0.2179997352055735
41,native.country,1,0.2000915385436975,0.1737007833095069,0.2698788610446149
42,native.country,2,0.2146883516512849,0.1593960995440062,0.2500341837699049
43,native.country,3,0.1638487495564574,0.1263535428289208,0.2428257355129141
44,native.country,4,0.2276210788216537,0.1586703278613263,0.2539538727062993
45,native.country,5,0.2149882995627879,0.1443376604633605,0.2647948777361755
46,native.country,6,0.1633051177499985,0.1129860385896963,0.2281016703103902
47,native.country,7,0.164457761349328,0.1211495655995545,0.2388965175296589
48,native.country,8,0.2216236512784851,0.1552253460280121,0.2180205043794007
49,native.country,9,0.1976615668180231,0.1589105477220278,0.2618118857172099
50,occupation,0,0.1681576035438026,0.0666853788770947,0.1967435364367262
51,occupation,1,0.2140054647161255,0.0704864265228812,0.1682066608049659
52,occupation,2,0.1835241344372751,0.0507321189509137,0.1944190898054962
53,occupation,3,0.1625877923577257,0.0654154447294813,0.1812780194167884
54,occupation,4,0.1647956177728109,0.0707486089685736,0.1826056649367047
55,occupation,5,0.1649815760916876,0.0574110437792692,0.1755452338146019
56,occupation,6,0.1603408814491241,0.059286280472885,0.1585567857574862
57,occupation,7,0.1624346597155306,0.070761983746737,0.1779327589235849
58,occupation,8,0.1609221081559086,0.0514946364447225,0.1577061768018687
59,occupation,9,0.1735310878463487,0.0615424466373998,0.1561911571349113
60,race,0,0.0989568608611749,0.0617341427412718,0.0837468870453053
61,race,1,0.1164061998048376,0.0370497442353465,0.1308919426590582
62,race,2,0.1214638301472089,0.0447883071460133,0.0959269044186967
63,race,3,0.0859401020243192,0.0566324763838313,0.0396956444525881
64,race,4,0.1218202930055299,0.0474280386435435,0.1109089939440675
65,race,5,0.1345627410615284,0.0680040116377267,0.1197805012692841
66,race,6,0.1274914904300312,0.0545511639590524,0.1006324294214013
67,race,7,0.0948374543899495,0.0864087614826459,0.0614039713270389
68,race,8,0.1128926534661788,0.0689011301735293,0.1236102924817499
69,race,9,0.1035871281205736,0.0583196511716901,0.0937255652209401
70,relationship,0,0.2266367186622439,0.1205471258224316,0.1417308620180195
71,relationship,1,0.252803706859964,0.1275498535227551,0.1420114889017808
72,relationship,2,0.263123285809171,0.1196147355482115,0.1983053494896959
73,relationship,3,0.2498254322793834,0.1251969800332876,0.1932121102554812
74,relationship,4,0.2571510910524676,0.1401963110763077,0.1955553199655873
75,relationship,5,0.225282913612464,0.094375888844281,0.1493784789982445
76,relationship,6,0.2455165102467889,0.1229259224312138,0.2106076885777745
77,relationship,7,0.2331969180812144,0.1361689689931606,0.1585902206483118
78,relationship,8,0.2483529114218362,0.1126570770657703,0.1806097516054308
79,relationship,9,0.2332763079996421,0.1396048081149581,0.1600877189985535
80,sex,0,0.1924827661560082,0.081839833761193,0.130982966098979
81,sex,1,0.1659173134767884,0.1076812645926674,0.0378767908797079
82,sex,2,0.1942273398889284,0.0847006674479033,0.0757078876349375
83,sex,3,0.1937197855733674,0.1046150418991453,0.0747405013839977
84,sex,4,0.1942108406508264,0.1181923101756198,0.0641596437991531
85,sex,5,0.1891811838017899,0.0985446805113159,0.082589348299081
