,variable,fold,statistical_parity,equal_opportunity,average_odds
0,age,0,0.1186824571785886,0.091365631134589,0.1540162264705501
1,age,1,0.136089529940321,0.1048222169242642,0.136729291276386
2,age,2,0.136717773844015,0.0878387788358359,0.1525477257711209
3,age,3,0.1555891303597424,0.1063164133398764,0.1463961764902803
4,age,4,0.1443626096558364,0.104088020037397,0.1456294756145288
5,age,5,0.1305616613355929,0.0979934518010329,0.1494678503682965
6,age,6,0.1429507500164304,0.1230184418080239,0.1484857545479029
7,age,7,0.1492466554268491,0.1110169772932233,0.1540230537426091
8,age,8,0.1308139080177293,0.103706076292706,0.1432224244591285
9,age,9,0.1257482431024493,0.0888687829233031,0.1347556757234315
10,education,0,0.2469987882547744,0.0657905269253753,0.2710214168335669
11,education,1,0.2337492262961798,0.0808540008819601,0.2076255733039165
12,education,2,0.23423233709737,0.0705965496592302,0.2101304493384438
13,education,3,0.238163540188544,0.0879149122918607,0.2499260772571373
14,education,4,0.2334987148862602,0.0801586974955404,0.2225794373526882
15,education,5,0.2336015746527817,0.0764097075652234,0.2305902216795551
16,education,6,0.2377467733508913,0.0775149990232029,0.2325706384161912
17,education,7,0.2336268702209069,0.0900621840656882,0.2255415119144604
18,education,8,0.238666975963025,0.0763232645049549,0.2531175434478958
19,education,9,0.2337807601847202,0.0730810522339305,0.2107611672916332
20,hours.per.week,0,0.189137991384111,0.140052236187488,0.2260867548847568
21,hours.per.week,1,0.1955712852270079,0.1797044593674939,0.2131049977760968
22,hours.per.week,2,0.1822790533016954,0.1537196146321188,0.2281514568974798
23,hours.per.week,3,0.2005515274899119,0.1527079502323236,0.2113804289809629
24,hours.per.week,4,0.1745646102537902,0.1582468145119491,0.2278030583165878
25,hours.per.week,5,0.2080843933091504,0.1465450210982423,0.2200554813278915
26,hours.per.week,6,0.2007983901831058,0.1761951178822627,0.2182971774565617
27,hours.per.week,7,0.1681902807075861,0.1359292471504653,0.2133052920703718
28,hours.per.week,8,0.1824301220400237,0.1523099237719556,0.2233212565517534
29,hours.per.week,9,0.222917437548351,0.1386428450150507,0.2062521989974757
30,marital.status,0,0.2231724503066039,0.115750411888655,0.214965339566696
31,marital.status,1,0.2383865414845327,0.1298740225986989,0.214583350622945
32,marital.status,2,0.2492923793550385,0.1603407241176974,0.2315038560092815
33,marital.status,3,0.3211788792558469,0.1302158931464447,0.2064541444041745
34,marital.status,4,0.2400957400365022,0.1897574988273143,0.265351281578935
35,marital.status,5,0.2203633270259658,0.1327610095770532,0.2041619711707738
36,marital.status,6,0.2411084530127532,0.1575995476923558,0.2466695737865035
37,marital.status,7,0.233102596392548,0.1469565389499772,0.2109412085550733
38,marital.status,8,0.2346420399854601,0.2269303628130943,0.251942029193533
39,marital.status,9,0.2201840272107585,0.1374706285242028,0.2201659331903614
40,native.country,0,0.2322949755757138,0.1480759764356723,0.2244249007219409
41,native.country,1,0.2025959305862451,0.1687342542580591,0.2530913832664004
42,native.country,2,0.2084338268215382,0.1368770606097238,0.2386586903723159
43,native.country,3,0.1669676442824643,0.1302344097632799,0.251403953261357
44,native.country,4,0.2477225297467284,0.134943004238308,0.2502646991844323
45,native.country,5,0.1942716209332056,0.146910747510492,0.2527563871143466
46,native.country,6,0.1631385717575097,0.1191355370209932,0.2173814402457664
47,native.country,7,0.1557178765522553,0.1334326124169043,0.2313873302109542
48,native.country,8,0.2307997530903533,0.1693652229918313,0.2188917777870616
49,native.country,9,0.1971828072176789,0.1604258846843778,0.2586627252178611
50,occupation,0,0.1632056011024844,0.0745112713899214,0.1889462643160303
51,occupation,1,0.2003328063665531,0.080543378626995,0.1560691638399537
52,occupation,2,0.1667594244152221,0.062828362666563,0.1802410826229427
53,occupation,3,0.1605384073455273,0.0787977381539012,0.1772662825575616
54,occupation,4,0.1495122186780315,0.0765772395054652,0.1760412364723097
55,occupation,5,0.1469229682256957,0.0807478685357409,0.1291105601778294
56,occupation,6,0.147965359088358,0.073633788974668,0.1420128164315973
57,occupation,7,0.1532573567102716,0.0765106473397242,0.1680044259247238
58,occupation,8,0.1529631534272688,0.0599614507779112,0.1485481415019251
59,occupation,9,0.1560256654557029,0.0858861744456467,0.142388016874543
60,race,0,0.1320676666343849,0.0612921131526627,0.1517906551432856
61,race,1,0.1095987477210795,0.060694057535394,0.1059845310187595
62,race,2,0.1340215545994313,0.0517681536888322,0.1246883599876012
63,race,3,0.098657106235207,0.058984755994157,0.055887930275502
64,race,4,0.1049035009646876,0.0574210219829063,0.0834667223414132
65,race,5,0.1394997445862801,0.0841413973914198,0.128837569403292
66,race,6,0.0989277500365198,0.0543536014197992,0.0700720478998443
67,race,7,0.0819797243528146,0.0947905159166008,0.0907455386882143
68,race,8,0.120988804745559,0.0708956463769234,0.1112846267254177
69,race,9,0.1220586091511617,0.0711925993583382,0.1061176470158037
70,relationship,0,0.2394587245154111,0.1362333636206121,0.17555666302114
71,relationship,1,0.2467636271031489,0.1538568315065974,0.1387603450191359
72,relationship,2,0.2576454341589333,0.1444317049344191,0.2089324865925533
73,relationship,3,0.2605276588548978,0.1322981067316946,0.2349839311699836
74,relationship,4,0.2468536722116928,0.1502891180262435,0.2216238860475103
75,relationship,5,0.2405261394417436,0.1264057757786873,0.190607012806135
76,relationship,6,0.2600146307830254,0.1476646804520464,0.2324343624222724
77,relationship,7,0.2513686631563329,0.147061481438423,0.2164118366122141
78,relationship,8,0.2558985232134984,0.1300415861341328,0.2231935282290254
79,relationship,9,0.2416899395213991,0.1577125746828436,0.1397236655224007
80,sex,0,0.195917506097127,0.1127524932312618,0.1210569688366394
81,sex,1,0.1882575040491365,0.1367125218232683,0.0738856066702893
82,sex,2,0.2009660162021704,0.0960167116726957,0.1151061961825583
83,sex,3,0.2065982960406379,0.122622088584793,0.100463342730034
84,sex,4,0.2098196991219008,0.1195239863119834,0.131067910136518
85,sex,5,0.2001080314375425,0.1166877521821907,0.111467400691457
